Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Kilo,Area,beach,depth,Building%,Latitude,Longitude
Miami Islands,hotel,darkblue,Cyan,,Miami Islands,,,,,,31.26515,27.37473
Mina 5 Resort,hotel,darkblue,Cyan,,Mina 5 Resort,,,,,,31.08804,28.00839
Mountain View Resort,hotel,darkblue,Cyan,,Mountain View Resort,,,,,,31.08271,28.02844
Orchidia Resort,hotel,darkblue,Cyan,,Orchidia Resort,,,,,,30.99456,28.71633
Orchidia Resort,hotel,darkblue,Cyan,,Orchidia Resort,,,,,,30.99235,28.71534
OUD north coast,hotel,darkblue,Cyan,,OUD north coast,,,,,,31.07064,28.34156
Palma Di Majorca resort,hotel,darkblue,Cyan,,Palma Di Majorca resort,,,,,,31.08214,28.39457
palmaplaja - capital home,hotel,darkblue,Cyan,,palmaplaja - capital home,,,,,,31.23477,27.408
Ramla North Coast,hotel,darkblue,Cyan,,Ramla North Coast,,,,,,31.08728,28.11971
retan north coast,hotel,darkblue,Cyan,,retan north coast,,,,,,30.97815,28.72432
Royal Beach Resort,hotel,darkblue,Cyan,,Royal Beach Resort,,,,,,31.08308,27.97396
Royal Beach Resort,hotel,darkblue,Cyan,,Royal Beach Resort,,,,,,31.08737,27.9776
Santa Monica,hotel,darkblue,Cyan,,Santa Monica,,,,,,31.2568,27.38995
Sea and See Resort,hotel,darkblue,Cyan,,Sea and See Resort,,,,,,31.23836,27.40316
Sea View North Coast,hotel,darkblue,Cyan,,Sea View North Coast,,,,,,31.08812,28.16613
Sea View North Coast,hotel,darkblue,Cyan,,Sea View North Coast,,,,,,31.08927,28.16136
Seashell,hotel,darkblue,Cyan,,Seashell,,,,,,30.98955,28.6934
Smeralda Bay,hotel,darkblue,Cyan,,Smeralda Bay,,,,,,31.19133,27.58638
Stella Di Mare,hotel,darkblue,Cyan,,Stella Di Mare,,,,,,30.9595,28.77214
Stella Heights,hotel,darkblue,Cyan,,Stella Heights,,,,,,30.99379,28.71099
Swan Lake North Coast,hotel,darkblue,Cyan,,Swan Lake North Coast,,,,,,31.07483,28.06128
Tahiti Bay Garawlah,hotel,darkblue,Cyan,,Tahiti Bay Garawlah,,,,,,31.23263,27.40708
Telal El Alamein,hotel,darkblue,Cyan,,Telal El Alamein,,,,,,31.01185,28.60606
The Shore North Coast,hotel,darkblue,Cyan,,The Shore North Coast,,,,,,31.07245,28.20117
White Bay Sidi Heneish,hotel,darkblue,Cyan,,White Bay Sidi Heneish,,,,,,31.17758,27.65618
Zahra El-Morshedy,hotel,darkblue,Cyan,,Zahra El-Morshedy,,,,,,30.94204,28.80502
